X,Y,featurecla,scalerank,name,name_abb,name_alt,note,delta,dam_name,year,admin,min_zoom,min_label
-76.358464108602,42.8645348786044,Lake,5,Skaneateles Lake,Skaneateles L.,Finger Lakes,,,,-99,,4.7,6
-163.930536033261,60.302812951948,Lake,5,,,,_untitled_19,,,-99,,4.7,6
-111.354456536058,42.0071993583334,Lake,5,Bear Lake,Bear L.,,,,,-99,,4.7,6
-111.77425995799,40.2192316501356,Lake,5,Utah Lake,Utah L.,,,,,-99,,4.7,6
-126.301743286634,66.8890631144556,Lake,5,,,,_untitled_18,,,-99,,4.7,6
-94.4441194039224,47.1762334307655,Lake,5,Leech Lake,Leech L.,,,,,-99,,4.7,6
-90.5731122328387,48.8831038219385,Lake,5,Lac des Mille Lacs,L. des Mille Lacs,,,,,-99,,4.7,6
-121.143750279812,60.5868743346301,Lake,5,Trout Lake,Trout L.,,,,,-99,,4.7,6
-65.151659193813,44.2091902113418,Lake,5,Lake Rossignol,L. Rossignol,,,,,-99,,4.7,6
-66.0174626041462,45.9842058979458,Lake,5,Grand Lake,Grand L.,,,,,-99,,4.7,6
-105.643663588251,59.0997467643609,Lake,5,Black Lake,BL.k L.,,,,,-99,,4.7,6
-146.663449400862,62.3989799012526,Lake,5,Lake Louise,L. Louise,,,,,-99,,4.7,6
-119.734194518978,68.5026200773278,Lake,5,Bluenose Lake,Bluenose L.,,,,,-99,,4.7,6
-57.3413306119143,49.0052649346981,Lake,5,Grand Lake,Grand L.,,,,,-99,,4.7,6
-126.377694045249,67.4155333558306,Lake,5,,,,_untitled_6,,,-99,,4.7,6
-125.982007122264,67.1863708828586,Lake,5,Colville Lake,Colville L.,,,,,-99,,4.7,6
-118.595150417946,65.0388373933695,Lake,5,Hottah Lake,Hottah L.,,,,,-99,,4.7,6
-90.0228341889335,53.782500353918,Lake,5,Big Trout Lake,Big Trout L.,,,,,-99,,4.7,6
-93.2519446178039,51.1658976278446,Lake,5,Trout Lake,Trout L.,,,,,-99,,4.7,6
-94.2475861769388,53.8521174699846,Lake,5,Island Lake,Island L.,,,,,-99,,4.7,6
-70.6348215553681,52.8299380385199,Lake,5,Lake Naococane,L. Naococane,,,,,-99,,4.7,6
-104.957650457963,55.116117031888,Lake,5,Lac la Ronge,L. la Ronge,,,,,-99,,4.7,6
-93.6801438300572,46.2470730634744,Lake,5,Mille Lacs Lake,Mille Lacs L.,,,,,-99,,4.7,6
-95.0181562441905,47.9870594189497,Lake,5,Lower Red Lake,Lower Red L.,,,,,-99,,4.7,6
-94.7991182225219,48.1292372923543,Lake,5,Upper Red Lake,Upper Red L.,,,,,-99,,4.7,6
-71.356710629771,43.6107479408832,Lake,5,Lake Winnipesaukee,L. Winnipesaukee,,,,,-99,,4.7,6
-79.3183690854238,44.4976670559309,Lake,5,Lake Simcoe,L. Simcoe,,,,,-99,,4.7,6
-94.3827852892797,54.6295331297394,Lake,5,Gods Lake,Gods L.,,,,,-99,,4.7,6
-97.9757315424465,62.6973179441006,Lake,5,Yathkyed Lake,Yathkyed L.,,,,,-99,,4.7,6
-56.5792059590126,48.2718567119496,Lake,5,,,,_untitled_5,,,-99,,4.7,6
-95.7785820696255,55.5124783290708,Lake,5,,,,_untitled_4,,,-99,,4.7,6
-165.689140523957,65.1311205472252,Lake,5,,,,_untitled_3,,,-99,,4.7,6
