HouseNumber,Address,City,State,Country,PostCode,County,Latitude,Longitude,Xstart,Ystart,Xend,Yend,Link,featurecla,scalerank,name,name_abb,name_alt,note,delta,dam_name,year,admin,min_zoom,min_label,,,,,,,,,,
N/A,,Ambohitsara Atsinanana,Fianarantsoa,Norway,,,-80.9978317362461,48.4617215739495,-80.9778317362461,48.4817215739495,-81.0178317362461,48.4417215739495,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=48.4817215739495,-80.9778317362461&visible=48.4417215739495,-81.0178317362461",Lake,9,,,,_untitled_50,,,-99,,7,8,,,,,,,,,,
N/A,,,,,,,120.137632179972,31.237299038967,120.157632179972,31.257299038967,120.117632179972,31.217299038967,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=31.257299038967,120.157632179972&visible=31.217299038967,120.117632179972",Lake,4,Tai Hu,Tai Hu,,,,,-99,,4,5,,,,,,,,,,
N/A,,,,,,,-138.792404874444,61.3350007637352,-138.772404874444,61.3550007637352,-138.812404874444,61.3150007637352,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=61.3550007637352,-138.772404874444&visible=61.3150007637352,-138.812404874444",Lake,7,Kluane Lake,Kluane L.,,,,,-99,,5.7,6.7,,,,,,,,,,
N/A,,,,,,,-91.9411685599122,51.9421358310908,-91.9211685599122,51.9621358310908,-91.9611685599122,51.9221358310908,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=51.9621358310908,-91.9211685599122&visible=51.9221358310908,-91.9611685599122",Lake,6,,,,_untitled_25,,,-99,,5,6.5,,,,,,,,,,
N/A,,,,,,,-104.677517631008,63.1688892757655,-104.657517631008,63.1888892757655,-104.697517631008,63.1488892757655,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=63.1888892757655,-104.657517631008&visible=63.1488892757655,-104.697517631008",Lake,7,,,,_untitled_105,,,-99,,5.7,6.7,,,,,,,,,,
N/A,,Antanambao,Antsiranana,Norway,,,-80.3295947587916,50.3101811102728,-80.3095947587916,50.3301811102728,-80.3495947587916,50.2901811102728,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=50.3301811102728,-80.3095947587916&visible=50.2901811102728,-80.3495947587916",Lake,9,,,,_untitled_49,,,-99,,7,8,,,,,,,,,,
N/A,,,,,,,-106.488805919216,62.4624153706495,-106.468805919216,62.4824153706495,-106.508805919216,62.4424153706495,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=62.4824153706495,-106.468805919216&visible=62.4424153706495,-106.508805919216",Lake,7,Lynx Lake,Lynx L.,,,,,-99,,5.7,6.7,,,,,,,,,,
N/A,,,,,,,97.6887705754098,34.93613147844,97.7087705754098,34.95613147844,97.6687705754098,34.91613147844,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=34.95613147844,97.7087705754098&visible=34.91613147844,97.6687705754098",Lake,5,Ngoring Hu,Ngoring Hu,,,,,-99,,4.7,6,,,,,,,,,,
N/A,,Deh-Cabo,Bari,Norway,,,-78.7806291988373,51.103050886702,-78.7606291988373,51.123050886702,-78.8006291988373,51.083050886702,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=51.123050886702,-78.7606291988373&visible=51.083050886702,-78.8006291988373",Lake,6,,,,_untitled_24,,,-99,,5,6.5,,,,,,,,,,
N/A,,,,,,,-111.432358446463,64.9714280082563,-111.412358446463,64.9914280082563,-111.452358446463,64.9514280082563,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=64.9914280082563,-111.412358446463&visible=64.9514280082563,-111.452358446463",Lake,9,,,,_untitled_93,,,-99,,7,8,,,,,,,,,,
N/A,,Ambodiforaha,Toamasina,Heard and McDonald Islands,,,-74.2188878535198,49.8515618002017,-74.1988878535198,49.8715618002017,-74.2388878535198,49.8315618002017,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=49.8715618002017,-74.1988878535198&visible=49.8315618002017,-74.2388878535198",Lake,7,,,,_untitled_22,,,-99,,5.7,6.7,,,,,,,,,,
N/A,,,,,,,-112.300403496523,65.8789526122032,-112.280403496523,65.8989526122032,-112.320403496523,65.8589526122032,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=65.8989526122032,-112.280403496523&visible=65.8589526122032,-112.320403496523",Lake,9,,,,_untitled_92,,,-99,,7,8,,,,,,,,,,
